,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isangel,-19.55,169.2667,297.33,86,100,7.88,VU,1651188167
1,horsham,51.064,-0.3272,281.79,79,0,3.09,GB,1651188277
2,nishihara,26.1842,127.7558,299.99,91,75,7.72,JP,1651188193
3,ilulissat,69.2167,-51.1,270.16,93,40,2.06,GL,1651188277
4,gap,44.6667,6.0,277.5,70,2,1.23,FR,1651188278
5,spasskoye,44.6108,132.7969,282.02,41,81,2.65,RU,1651188278
6,acarau,-2.8856,-40.12,298.58,88,67,4.01,BR,1651188279
7,tautira,-17.7333,-149.15,300.21,75,24,9.29,PF,1651188179
8,bria,6.5423,21.9863,293.93,92,100,1.2,CF,1651188279
9,butaritari,3.0707,172.7902,300.87,79,99,7.16,KI,1651188279
10,puerto del rosario,28.5004,-13.8627,291.01,68,20,6.69,ES,1651188280
11,punta arenas,-53.15,-70.9167,279.21,81,40,9.77,CL,1651188083
12,new norfolk,-42.7826,147.0587,289.87,81,3,1.65,AU,1651188192
13,luderitz,-26.6481,15.1594,289.71,67,23,3.94,NA,1651188281
14,mandera,3.9366,41.867,300.41,66,86,4.22,KE,1651188281
15,port alfred,-33.5906,26.891,292.62,51,10,4.85,ZA,1651188172
16,bethel,41.3712,-73.414,282.73,36,4,5.36,US,1651188282
17,torbay,47.6666,-52.7314,275.11,95,100,3.09,CA,1651188282
18,coffs harbour,-30.3,153.1333,295.13,83,100,3.09,AU,1651188282
19,hithadhoo,-0.6,73.0833,302.49,69,81,3.41,MV,1651188283
20,fundao,-19.9341,-40.4047,298.89,93,10,0.28,BR,1651188283
21,bluff,-46.6,168.3333,283.75,80,42,3.33,NZ,1651188192
22,barrow,71.2906,-156.7887,260.16,78,100,9.26,US,1651188258
23,jamestown,42.097,-79.2353,280.12,39,0,4.63,US,1651188058
24,rikitea,-23.1203,-134.9692,298.28,64,25,8.26,PF,1651188252
25,ilhabela,-23.7781,-45.3581,298.89,75,40,1.67,BR,1651188284
26,cassilandia,-19.1133,-51.7342,299.61,37,64,0.94,BR,1651188284
27,ribeira grande,38.5167,-28.7,290.37,94,75,7.2,PT,1651188285
28,tasiilaq,65.6145,-37.6368,272.24,87,6,2.46,GL,1651188248
29,puerto ayora,-0.7393,-90.3518,296.55,80,11,3.95,EC,1651188260
30,beja,36.7256,9.1817,285.96,61,100,2.2,TN,1651188285
31,tuktoyaktuk,69.4541,-133.0374,262.15,79,100,6.17,CA,1651188250
32,padang,-0.9492,100.3543,298.18,87,100,1.71,ID,1651188286
33,bredasdorp,-34.5322,20.0403,286.82,94,64,1.92,ZA,1651188255
34,chauk,20.8833,94.8167,303.25,53,21,2.34,MM,1651188286
35,cherskiy,68.75,161.3,265.66,91,100,4.88,RU,1651188287
36,busselton,-33.65,115.3333,285.36,80,33,2.51,AU,1651188246
37,nong phai,15.9903,101.0618,299.64,76,100,1.14,TH,1651188287
38,salalah,17.0151,54.0924,302.2,84,75,1.54,OM,1651188288
39,atuona,-9.8,-139.0333,299.19,77,66,8.8,PF,1651188190
40,kathu,7.9178,98.3332,304.11,74,7,3.13,TH,1651188288
41,eureka,40.8021,-124.1637,287.76,62,25,2.68,US,1651188233
42,bandarbeyla,9.4942,50.8122,301.41,78,21,2.12,SO,1651188289
43,georgetown,5.4112,100.3354,299.12,94,20,0.0,MY,1651188191
44,geraldton,-28.7667,114.6,284.38,87,0,3.6,AU,1651188047
45,cabo san lucas,22.8909,-109.9124,302.22,28,0,3.6,MX,1651188257
46,saint-joseph,-21.3667,55.6167,296.22,80,16,2.09,RE,1651188290
47,saldanha,-33.0117,17.9442,289.18,92,24,6.67,ZA,1651188188
48,chokurdakh,70.6333,147.9167,256.99,94,95,1.67,RU,1651188243
49,mataura,-46.1927,168.8643,284.32,79,13,0.48,NZ,1651188261
50,hobart,-42.8794,147.3294,289.16,89,20,2.06,AU,1651188267
51,ambilobe,-13.2,49.05,295.46,96,46,1.43,MG,1651188291
52,arraial do cabo,-22.9661,-42.0278,298.31,83,8,9.56,BR,1651188189
53,ocos,14.5094,-92.1933,305.25,63,6,3.58,GT,1651188291
54,larsnes,62.2028,5.5773,278.4,81,84,1.93,NO,1651188292
55,pundaguitan,6.3711,126.1689,300.64,77,100,4.17,PH,1651188292
56,khorol,49.7837,33.2783,280.94,64,97,2.91,UA,1651188292
57,khatanga,71.9667,102.5,263.4,93,99,3.12,RU,1651188104
58,albany,42.6001,-73.9662,281.52,26,15,0.89,US,1651187996
59,kumylzhenskaya,49.8809,42.5898,280.36,69,12,2.46,RU,1651188293
60,mandiana,10.6333,-8.6833,298.09,78,100,5.19,GN,1651188293
61,cuenca,-2.8833,-78.9833,288.22,72,75,1.54,EC,1651188117
62,thompson,55.7435,-97.8558,282.24,37,75,5.66,CA,1651188129
63,jumla,29.2747,82.1838,283.44,52,7,1.9,NP,1651188294
64,wanning,18.8003,110.3967,299.46,92,99,1.0,CN,1651188200
65,keti bandar,24.1447,67.4497,301.05,82,0,6.85,PK,1651188295
66,almeirim,-1.5233,-52.5817,296.63,98,99,1.64,BR,1651188295
67,hasaki,35.7333,140.8333,288.37,73,90,5.6,JP,1651188295
68,castro,-24.7911,-50.0119,290.78,91,62,1.89,BR,1651188296
69,dabhol,17.6,73.1667,298.9,88,0,0.95,IN,1651188296
70,kapaa,22.0752,-159.319,298.12,84,100,7.2,US,1651188193
71,lasa,46.6166,10.7002,283.3,72,3,1.17,IT,1651188297
72,clyde river,70.4692,-68.5914,258.28,85,75,4.12,CA,1651188118
73,severo-kurilsk,50.6789,156.125,274.52,92,100,6.39,RU,1651188297
74,dikson,73.5069,80.5464,259.19,91,73,8.53,RU,1651188298
75,upernavik,72.7868,-56.1549,263.62,89,51,1.83,GL,1651188298
76,port blair,11.6667,92.75,299.17,94,40,0.51,IN,1651188298
77,east london,-33.0153,27.9116,291.99,47,3,3.36,ZA,1651188125
78,vaini,-21.2,-175.2,301.24,61,40,5.66,TO,1651188099
79,manjacaze,-24.7117,33.8828,289.44,93,0,2.19,MZ,1651188299
80,zeya,53.75,127.2667,276.45,27,19,4.42,RU,1651188299
81,sitka,57.0531,-135.33,284.09,54,20,3.6,US,1651188300
82,palmer,42.1584,-72.3287,282.36,21,20,11.83,US,1651188242
83,fortuna,40.5982,-124.1573,287.28,64,20,5.66,US,1651188253
84,nikolskoye,59.7035,30.7861,275.83,61,100,3.77,RU,1651188301
85,devon,50.75,-3.75,280.51,83,75,1.12,GB,1651188301
86,tuatapere,-46.1333,167.6833,285.15,76,35,1.66,NZ,1651188301
87,douentza,14.9951,-2.9517,302.18,15,63,0.49,ML,1651188302
88,baykit,61.67,96.37,276.89,99,100,1.52,RU,1651188252
89,san cristobal,7.7669,-72.225,296.25,87,90,0.63,VE,1651188302
90,port elizabeth,-33.918,25.5701,289.44,70,0,2.06,ZA,1651188061
91,hermanus,-34.4187,19.2345,284.15,89,98,1.89,ZA,1651188255
92,gimli,50.6336,-96.9907,277.16,75,99,3.09,CA,1651188303
93,carrigaline,51.8117,-8.3986,280.01,81,40,1.03,IE,1651188303
94,innisfail,-17.5333,146.0333,298.02,86,93,5.34,AU,1651188304
95,necochea,-38.5473,-58.7368,283.81,55,90,6.55,AR,1651188304
96,tiksi,71.6872,128.8694,261.65,90,37,2.68,RU,1651188305
97,qaanaaq,77.484,-69.3632,270.52,95,99,2.57,GL,1651188257
98,lexington,37.9887,-84.4777,290.93,47,20,4.12,US,1651188126
99,takoradi,4.8845,-1.7554,299.07,82,100,3.13,GH,1651188305
100,divinopolis,-20.1389,-44.8839,294.51,68,38,2.22,BR,1651188306
101,yarada,17.65,83.2667,301.09,78,19,3.67,IN,1651188306
102,provideniya,64.3833,-173.3,273.21,80,75,8.05,RU,1651188307
103,kirakira,-10.4544,161.9205,302.48,72,100,2.2,SB,1651188307
104,parrita,9.5201,-84.3225,300.39,81,59,0.69,CR,1651188308
105,phangnga,8.4509,98.5298,300.17,91,9,1.1,TH,1651188308
106,hofn,64.2539,-15.2082,280.65,68,8,3.98,IS,1651188254
107,komsomolskiy,40.4272,71.7189,290.55,67,97,2.06,UZ,1651188309
108,nabire,-3.3667,135.4833,299.84,78,90,0.92,ID,1651188309
109,poum,-20.2333,164.0167,296.19,86,100,6.9,NC,1651188086
110,avarua,-21.2078,-159.775,301.18,74,20,7.72,CK,1651188310
111,vanavara,60.34,102.2797,276.36,95,92,3.8,RU,1651188310
112,micheweni,-4.9667,39.8333,298.66,87,68,5.49,TZ,1651188311
113,ushuaia,-54.8,-68.3,277.96,87,40,11.32,AR,1651188190
114,sesheke,-17.4759,24.2968,289.33,82,3,2.38,ZM,1651188311
115,lavrentiya,65.5833,-171.0,272.29,89,66,4.58,RU,1651188312
116,san quintin,30.4833,-115.95,289.66,63,6,10.38,MX,1651188272
117,naryan-mar,67.6713,53.087,263.56,95,83,4.53,RU,1651188312
118,pierre,44.3683,-100.351,291.8,49,0,7.15,US,1651188278
119,hilo,19.7297,-155.09,298.18,76,20,6.17,US,1651188249
120,watsa,3.0372,29.5355,290.46,97,100,1.19,CD,1651188313
121,mezen,65.8522,44.24,270.42,82,91,5.56,RU,1651188313
122,laurel,39.0993,-76.8483,286.75,29,0,5.14,US,1651188313
123,pinawa,50.1489,-95.8811,283.01,52,100,2.49,CA,1651188314
124,pontes e lacerda,-15.2261,-59.3353,299.09,59,33,1.7,BR,1651188314
125,leningradskiy,69.3833,178.4167,267.96,90,100,1.04,RU,1651188263
126,yankton,42.8711,-97.3973,298.29,38,0,6.17,US,1651188315
127,akalkot,17.5333,76.2167,304.54,52,69,5.9,IN,1651188315
128,isla vista,34.4133,-119.861,293.93,47,0,3.6,US,1651188316
129,nicoya,10.1483,-85.452,303.05,61,98,3.59,CR,1651188316
130,guaymas,27.9333,-110.9,301.93,21,0,6.17,MX,1651188316
131,kunashak,55.7032,61.5498,284.44,74,84,4.97,RU,1651188317
132,korla,41.7597,86.1469,283.47,57,85,3.1,CN,1651188317
133,mersing,2.4312,103.8405,298.1,94,40,2.57,MY,1651188318
134,smirnykh,49.75,142.8333,275.93,64,61,7.79,RU,1651188318
135,yellowknife,62.456,-114.3525,276.44,52,20,9.77,CA,1651188095
136,carnarvon,-24.8667,113.6333,289.19,72,0,5.66,AU,1651188319
137,pisco,-13.7,-76.2167,292.18,88,98,3.09,PE,1651188305
138,kahului,20.8947,-156.47,305.16,43,40,8.75,US,1651188319
139,bignona,12.8103,-16.2264,297.17,51,1,4.11,SN,1651188320
140,gravelbourg,49.8834,-106.5512,290.3,25,13,2.99,CA,1651188320
141,santiago,-33.4569,-70.6483,291.73,51,0,1.03,CL,1651188321
142,bilma,18.6853,12.9164,303.54,10,68,2.94,NE,1651188321
143,fort nelson,58.8053,-122.7002,275.92,87,100,5.14,CA,1651188253
144,umm kaddadah,13.6017,26.6876,302.36,10,98,3.32,SD,1651188313
145,kodiak,57.79,-152.4072,278.85,69,94,6.4,US,1651188266
146,saint-philippe,-21.3585,55.7679,296.78,81,28,4.0,RE,1651188252
147,sambava,-14.2667,50.1667,296.93,85,25,5.69,MG,1651188322
148,trairi,-3.2778,-39.2689,298.06,91,42,3.14,BR,1651188156
149,kurumkan,54.3,110.3,272.69,63,4,0.45,RU,1651188323
150,san patricio,28.017,-97.5169,300.3,63,20,8.34,US,1651188323
151,kataysk,56.289,62.5841,279.2,71,91,4.93,RU,1651188323
152,benguela,-12.5763,13.4055,297.22,89,70,0.91,AO,1651188109
153,kavaratti,10.5669,72.642,302.19,76,86,2.43,IN,1651188324
154,san juan,-31.5375,-68.5364,285.96,31,0,3.51,AR,1651188325
155,lagoa,39.05,-27.9833,289.24,93,100,7.43,PT,1651188268
156,sarana,56.4773,57.7259,275.77,80,100,3.07,RU,1651188325
157,port lincoln,-34.7333,135.8667,290.52,81,99,5.09,AU,1651188193
158,oranjestad,12.524,-70.027,300.12,78,20,7.72,AW,1651188102
159,salisbury,51.0693,-1.7957,281.12,76,40,3.09,GB,1651188326
160,touros,-5.1989,-35.4608,299.52,83,80,5.49,BR,1651188326
161,levelland,33.5873,-102.378,306.03,5,1,11.16,US,1651188326
162,ormond beach,29.2858,-81.0559,296.51,57,40,8.75,US,1651188327
163,nanortalik,60.1432,-45.2371,276.9,82,97,1.97,GL,1651188327
164,lompoc,34.6391,-120.4579,289.44,58,0,10.8,US,1651188328
165,valparaiso,-33.0393,-71.6273,288.97,65,0,1.03,CL,1651188310
166,cape town,-33.9258,18.4232,288.99,88,75,5.14,ZA,1651188251
167,gwadar,25.1216,62.3254,302.21,69,0,7.13,PK,1651188329
168,janauba,-15.8025,-43.3089,298.22,44,14,4.76,BR,1651188329
169,tutoia,-2.7619,-42.2744,298.62,90,87,3.57,BR,1651188329
170,sinjar,36.3209,41.8754,292.38,59,75,2.52,IQ,1651188330
171,two rivers,44.1539,-87.5693,277.81,64,100,4.12,US,1651188330
172,luan,46.3592,6.9759,279.76,84,6,0.45,CH,1651188331
173,jiujiang,29.7333,115.9833,285.36,86,100,5.34,CN,1651188331
174,salinopolis,-0.6136,-47.3561,298.9,87,96,5.03,BR,1651188332
175,campos sales,-7.0744,-40.3761,295.65,54,43,2.35,BR,1651188332
176,denpasar,-8.65,115.2167,298.55,88,20,1.54,ID,1651187833
177,sao filipe,14.8961,-24.4956,295.17,71,3,3.07,CV,1651188333
178,atherton,53.5237,-2.4935,281.47,73,99,0.45,GB,1651188333
179,chuy,-33.6971,-53.4616,285.88,65,0,5.41,UY,1651188334
180,talara,-4.5772,-81.2719,296.57,68,0,7.72,PE,1651188248
181,luganville,-15.5333,167.1667,300.47,84,99,2.27,VU,1651188334
182,tura,25.5198,90.2201,296.07,85,0,1.79,IN,1651188334
183,jati,24.3539,68.2671,301.18,73,0,6.3,PK,1651188335
184,sehithwa,-20.4667,22.7167,291.06,47,1,3.01,BW,1651188335
185,faanui,-16.4833,-151.75,300.97,70,6,10.17,PF,1651188336
186,tilichiki,60.4667,166.1,273.02,94,88,3.73,RU,1651188336
187,karema,-6.8205,30.4389,293.82,89,48,2.9,TZ,1651188337
188,sterling,39.0062,-77.4286,286.51,30,20,5.81,US,1651188337
189,ponta delgada,37.7333,-25.6667,289.55,88,75,9.77,PT,1651188102
190,airai,-8.9266,125.4092,289.39,77,85,1.14,TL,1651188338
191,mar del plata,-38.0023,-57.5575,282.52,83,20,6.71,AR,1651188338
192,williston,48.147,-103.618,287.56,84,67,1.83,US,1651188339
193,mount gambier,-37.8333,140.7667,291.1,72,100,4.63,AU,1651188339
194,bani walid,31.7566,13.9942,287.04,92,0,4.4,LY,1651188339
195,tranas,58.0372,14.9782,275.89,56,60,1.07,SE,1651188258
196,biak,-0.9131,122.8766,298.48,80,100,1.3,ID,1651188340
197,bambous virieux,-20.3428,57.7575,295.29,94,40,1.54,MU,1651188258
198,molteno,-31.3968,26.3625,284.47,68,46,4.74,ZA,1651188340
199,sao joao da barra,-21.6403,-41.0511,297.93,87,8,5.52,BR,1651188341
200,margate,51.3813,1.3862,281.85,79,100,3.13,GB,1651188341
201,pistsovo,57.179,40.5298,275.76,59,96,2.04,RU,1651188342
202,ostrovnoy,68.0531,39.5131,266.19,77,100,10.05,RU,1651188342
203,mahajanga,-15.7167,46.3167,297.6,77,71,5.14,MG,1651188342
204,kavieng,-2.5744,150.7967,302.47,68,100,4.28,PG,1651188195
205,goure,13.9835,10.2704,301.27,16,66,1.93,NE,1651188134
206,chapais,49.7834,-74.8492,275.03,67,6,4.46,CA,1651188343
207,skjervoy,70.0311,20.9714,272.85,65,100,13.27,NO,1651188343
208,esperance,-33.8667,121.9,284.06,71,83,4.8,AU,1651188344
209,esna,25.2934,32.554,302.06,6,2,2.92,EG,1651188345
210,upington,-28.4478,21.2561,289.36,82,0,2.06,ZA,1651188345
211,forecariah,9.4306,-13.0881,299.55,85,96,1.75,GN,1651188345
212,kindu,-2.95,25.95,293.73,99,100,0.89,CD,1651188346
213,ixtapa,20.7,-105.2,298.72,78,0,6.69,MX,1651188346
214,ornskoldsvik,63.2909,18.7153,271.68,74,100,2.57,SE,1651188347
215,tiverton,50.9,-3.4833,280.07,88,0,0.45,GB,1651188347
216,varna,43.2167,27.9167,287.13,92,59,4.63,BG,1651188347
217,wewak,-3.5534,143.6268,301.37,72,87,1.66,PG,1651188348
218,bima,-8.4667,118.7167,298.22,86,74,0.95,ID,1651188348
219,kysyl-syr,63.8986,122.7617,271.22,86,72,1.13,RU,1651188349
220,san luis,-33.295,-66.3356,283.11,28,0,7.4,AR,1651188349
221,puerto carreno,6.189,-67.4859,298.14,94,75,1.54,CO,1651188349
222,varberg,57.1056,12.2508,279.33,87,12,0.58,SE,1651188350
223,mahebourg,-20.4081,57.7,295.31,94,40,1.54,MU,1651188350
224,husavik,66.0449,-17.3389,278.99,67,17,1.82,IS,1651188351
225,victoria,22.2855,114.1577,300.09,87,28,2.24,HK,1651188326
226,stornoway,58.2093,-6.3865,281.03,87,20,1.34,GB,1651188351
227,kalininsk,51.5,44.4758,278.64,68,11,2.77,RU,1651188352
228,sabya,17.1495,42.6254,303.94,67,2,1.16,SA,1651188352
229,iranshahr,27.2025,60.6848,299.63,35,17,1.25,IR,1651188352
